Major Category,Minor Category,Item Group,Fiscal Cat,Item Code,Item Name,UOM,Stock,Lead Time,Avg Cons.,Price,Value,Source
PACKAGING MATERIAL,CHEMICAL,CHEMICAL,N/A,164329,"W. R Resin",PCS,50,---,0.00,150.00,7500.00,local
SEMI-FINISHED GOODS,FOAM,FOAM,SEMI-FINISHED GOODS,269000,"Inlet Hose (SAWM) SFG",PCS,0,---,0.00,19.73,0.00,local
RAW MATERIALS,PARTS AND COMPONENTS,CONNECTOR,RAW MATERIALS,396324,"Terminal C25002-01PT (ATI80)",PCS,10531.88,---,0.00,0.78,8214.87,local
SEMI-FINISHED GOODS,CABLE,CABLE,SEMI-FINISHED GOODS,195267,"Walton Flexible Cable (300/500 V) 1x1.0 rm(32/0.20 mm) -Green Yellow",MTR,662.5793,---,0.00,13.03,8633.41,local
SEMI-FINISHED GOODS,GRANULE,GRANULE,SEMI-FINISHED GOODS,217394,"FR Sheath PVC-Black (DOTP)",KG,0,---,0.00,140.89,0.00,local
SEMI-FINISHED GOODS,CABLE,CABLE,SEMI-FINISHED GOODS,195295,"Walton Flexible Cord (300/500 V) 2x0.65 rm (23/0.19 mm)  -Black",MTR,10952.158,---,0.00,47.87,524279.80,local
RAW MATERIALS,LIQUID CHEMICAL,SOLDER FLUX,RAW MATERIALS,113714,"Soldering Flux (Liquid)",KG,7.53077,---,0.00,800.21,6026.20,local
SEMI-FINISHED GOODS,CABLE,CABLE,SEMI-FINISHED GOODS,195263,"Walton Flexible Cable (300/500 V) 1x1.0 rm (32/0.20 mm)- Brown",MTR,7.5916,---,0.00,12.13,92.09,local
RAW MATERIALS,PARTS AND COMPONENTS,PCB,RAW MATERIALS,451021,"Rice Cooker LED Square PCBA Model: RCLSQR",PCS,0,---,0.00,20.80,0.00,local
SEMI-FINISHED GOODS,CABLE,CABLE,SEMI-FINISHED GOODS,263271,"Walton Flexible Cable (300/500 V) 1 x 0.30 rm (10/0.191 mm) Green",MTR,315.4304,---,0.00,4.79,1510.91,local
RAW MATERIALS,PARTS AND COMPONENTS,SENSOR,RAW MATERIALS,487485,"Door Lock Sensor with Cable (ATT80)",PCS,535.99,---,0.00,80.83,43324.07,local
RAW MATERIALS,PARTS AND COMPONENTS,HEAT SHRINK TUBE,RAW MATERIALS,124489,"Thermal Shrinkable Sleeve/Heat shrink tube (OD: 4mm)",MTR,200,---,0.00,5.16,1032.00,local
RAW MATERIALS,PARTS AND COMPONENTS,GLUE,RAW MATERIALS,165069,"Glue Stick (WM)",PCS,0,---,0.00,10.79,0.00,local
SEMI-FINISHED GOODS,TAPE,TAPE,SEMI-FINISHED GOODS,420204,"Walton Classic PVC insulation Tape WCPVCT1508BG (15 mm 08 Y) SFG",PCS,0,---,0.00,10.38,0.00,local
RAW MATERIALS,CONNECTOR,CONNECTOR,RAW MATERIALS,356530,"Receptacle female connector W: 5.7MM",PCS,960274.6,---,0.00,0.93,893055.38,local
RAW MATERIALS,CONNECTOR,CONNECTOR,RAW MATERIALS,356529,"Ring Terminal Connector D:4.2MM",PCS,230398.41739000002,---,0.00,0.91,209662.56,local
RAW MATERIALS,PCB,PCB,RAW MATERIALS,277204,"PCB with Wirings for Digital Rice Cooker",PCS,1000,---,0.00,319.03,319030.00,local
RAW MATERIALS,PARTS AND COMPONENTS,PLATE,RAW MATERIALS,268085,"Warm Plate",PCS,7819,---,0.00,9.24,72247.56,local
RAW MATERIALS,PARTS AND COMPONENTS,CAP,RAW MATERIALS,255677,"Wire Cap (Top Section) (4mm) (ATG80)",PCS,4471.32,---,0.00,0.23,1028.40,local
RAW MATERIALS,PARTS AND COMPONENTS,PIN,RAW MATERIALS,167053,"Copper Pin Female",PCS,286520.87,---,0.00,0.27,77360.63,local
RAW MATERIALS,PARTS AND COMPONENTS,CONNECTOR,RAW MATERIALS,311472,"Copper Brass Connector - 4MM",KG,21.14385,---,0.00,3563.02,75335.96,local
RAW MATERIALS,PARTS AND COMPONENTS,CONNECTOR,RAW MATERIALS,429790,"Housing Connector C45003-A02P (2 Pole, Blue (ATP70)",PCS,2994.3199999999997,---,0.00,1.30,3892.62,local
SEMI-FINISHED GOODS,CABLE,CABLE,SEMI-FINISHED GOODS,430211,"Walton Flexible Cable ( 300/500 V) 1 x 0.5 rm(16/0.20mm) Gray",MTR,7379.2559,---,0.00,12.37,91281.40,local
SEMI-FINISHED GOODS,CABLE,CABLE,SEMI-FINISHED GOODS,430210,"Walton Flexible Cable ( 300/500 V) 1 x 0.5 rm(16/0.20mm) Pink",MTR,9157.4963,---,0.00,12.64,115750.75,local
SEMI-FINISHED GOODS,EXTRUSION,EXTRUSION,SEMI-FINISHED GOODS,239360,"Walton Made Black PVC Tube -10mm",KG,419.414,---,0.00,182.15,76396.26,local
